rec_id,First_Name,Last_Name,SSN,Gender,Nationality,Age,Highest_Education_Level,Income,Company,State,Percentage,
rec-000017-dup-0,Philip,Gibbs,106-04-1841,,Peruvian,92,bachelors,86096.729,COMPTROLLER OF CURRENCY,,0.98,
rec-000018-dup-0,,Cheatham,422-32-2180,,Jamaican,73,high_school,38054.003,COUNTRY PLACE,MA  ,0.08,
rec-000019-dup-0,,Marshall,861-77-3706,,Japanese,25,high_school,49861.295,COUNTRY VILLA,MO  ,0.71,
rec-000020-dup-0,Heather,Mccrimmon,377-59-3894,,,22,high_school,50789.547,COUNTRY VILLAGE,FL  ,0.71,
rec-000021-dup-0,Jillian,Darrow,659-41-3286,,Kazakh,82,professional,85666.732,COUNTRY VLG APTS,,0.03,
rec-000022-dup-0,Almeda,Mosley,658-73-0291,female,,39,degree,67581.033,,AL  ,0.89,
rec-000023-dup-0,Steven,,437-18-2187,male ,Czech,,masters,114129.279,DR C WEISS DDS,NC  ,0.85,
rec-000024-dup-0,Araceli,Matthews,739-30-5552,,,28,degree,63227.801,ELITE AUTO BODY INC,TX  ,0.77,
rec-000025-dup-0,Julia,Ashton,,,Albanian,80,high_school,46185.073,ETHAN ALLEN,NY  ,0.85,
rec-000026-dup-0,Garry,Puckett,,male ,Azerbaijani,85,,42523.829,FIREMATIC,MI  ,0.66,
rec-000027-dup-0,Todd,Hicks,348-32-4551,male ,Slovenian,,high_school,40469.455,HEISS & GIBBONS CONSULT,,0.52,
rec-000028-dup-0,Marcos,Byrd,629-36-9553,male ,Mozambican,,masters,68259.642,,AR  ,0.78,
rec-000029-dup-0,Kenneth,,405-52-1524,male ,Solomon Islander,20,,41844.957,J D CHADNEY MD,NC  ,0.014728922,
rec-000030-dup-0,Christopher,Jones,827-39-5250,male ,Mauritanian,82,,,ABENDROTH BERNS & WARNER LLC,AL  ,0.51,
rec-000031-dup-0,,Morris,411-80-9476,male ,British,63,professional,90368.008,ANTIQUE MALL,,0.6,
rec-000032-dup-0,Carol,Lowe,627-90-2220,female,Tanzanian,38,degree,,BUSINESS AND TECH CENTER,,0.51,
rec-000033-dup-0,Scott,Anderson,,male ,,37,doctoral,118765.888,CAMELLIE 2,CO  ,0.93,
rec-000034-dup-0,Lorraine,Gault,446-04-5718,,Argentinian,51,,37690.369,FIRE FIGHTING EQUIPMENT,AL  ,0.73,
rec-000035-dup-0,Brian,Morin,350-73-3822,male ,Bermudian,,doctoral,125184.048,,IL  ,0.59,
rec-000036-dup-0,,,858-81-1826,male ,New Zealander,19,bachelors,82308.838,HAZELWOOD OIL & GAS,AL  ,0.66,
rec-000037-dup-0,Richard,Bond,730-98-1919,,Swedish,89,degree,58551.474,,TX  ,0.54,
rec-000038-dup-0,Kelly,,068-20-7210,,Guinean,82,high_school,50007.7,AUSTIN HALL APTS,MA  ,0.08,
rec-000039-dup-0,Jo,Colson,831-29-8112,female,,24,,64316.639,ERIE INSURANCE GROUP,NJ  ,0.74,
rec-000040-dup-0,Ralph,Ramirez,,male ,Ugandan,56,,68578.743,ERNEST DAUGHERTY,NJ  ,0.97,
rec-000041-dup-0,Sharon,,841-12-5667,female,,32,high_school,40058.398,HAUCK ASSOCIATES,NC  ,0.66,
rec-000042-dup-0,Stephen,Wyrick,832-98-1697,male ,,83,degree,59834.333,,NJ  ,0.09,
rec-000043-dup-0,,Hannon,992-39-4056,male ,French,87,doctoral,,A AND A COURT REPORTING,AL  ,0.96,
rec-000044-dup-0,Brendan,Minter,612-92-5391,male ,British ,46,,119192.804,ARBITRATION COMM,,0.5,
rec-000045-dup-0,Clarence,Story,831-48-8355,,,83,high_school,56046.662,AUBURNDALE BEER DISTR,MI  ,0.59,
rec-000046-dup-0,Richard,Durkin,951-96-2380,,Mayotte,38,bachelors,,AYBAR BUILDING,ME  ,0.99,
rec-000047-dup-0,Ruby,Reynolds,828-22-0594,female,US,45,doctoral,95021.876,,,0.81,
rec-000048-dup-0,,Martin,697-68-8007,male ,Ugandan,80,,48553.101,BALDWIN BLOCK,AL  ,0.79,
rec-000049-dup-0,Ronald,Anderson,639-52-0896,male ,,93,,49042.433,BARKAN MGMT,WI  ,0.09,
rec-000050-dup-0,John,,,male ,Vincentian,52,doctoral,105495.576,BEAMER ROAD MEDICAL BLDG,NY  ,0.59,
rec-000051-dup-0,Frances,,704-83-1792,female,,85,high_school,44604.918,BLISS INDUSTRIAL INC,NJ  ,0.99,
rec-000052-dup-0,Barbara,,048-69-6875,female,Barbadian,79,doctoral,,BRIGHTWOOD ELEM SCHOOL,PR  ,0.98,
rec-000053-dup-0,Henry,Adams,664-54-9787,,,73,high_school,40781.241,BRISTOL MALL,AL  ,0.58,
rec-000054-dup-0,William,Johnson,718-68-7648,male ,Indonesian,,,71432.071,BROOKWOOD BUSINESS,TX  ,0.92,
rec-000055-dup-0,,Looney,094-30-7914,female,Jordanian,90,degree,70009.222,BROWN,,0.51,
rec-000056-dup-0,,Johnson,812-25-9530,male ,British ,58,professional,86552.008,,PR  ,0.95,
rec-000057-dup-0,John,Scott,,,French,28,bachelors,108888.915,CALDER WEST,NJ  ,0.87,
rec-000058-dup-0,Mary,,093-72-6330,female,Burmese ,48,bachelors,77366.642,,IL  ,1,
rec-000059-dup-0,Brent,,625-34-7304,male ,Chinese ,56,,36822.317,CENTRAL STORE,PA  ,0.59,
rec-000060-dup-0,Eric,Baxter,192-93-3982,male ,Bhutanese,30,,,CHILD AID FAMILY SERV,ND  ,0.84,
rec-000061-dup-0,William,Holbert,920-56-2810,male ,Dominican,35,high_school,,CHRISTIAN HILL COMMONS,,0.5,
rec-000062-dup-0,Fred,,165-53-7830,male ,Icelandic,23,high_school,,CITY CLERK,ND  ,0.66,
rec-000063-dup-0,Tyler,Stockdale,,male ,Vanuatuan,51,degree,,CLUNE & WHITE,AL  ,0.58,
rec-000064-dup-0,Blaine,Cook,218-41-2998,male ,,54,degree,56164.971,,NC  ,0.7,
rec-000065-dup-0,Linda,,204-67-6921,,Mayotte,57,bachelors,60149.05,COMMANDING OFFICER,VA  ,0.77,
rec-000066-dup-0,Francis,Rice,455-92-3596,male ,,54,degree,66772.086,,PR  ,0.84,
rec-000067-dup-0,Kathy,Lynch,130-35-9044,female,Cameroonian,55,,53984.896,DR BALDING,,0.7,
rec-000068-dup-0,Kathy,Moore,124-49-5649,female,Burmese ,,high_school,44076.326,,FL  ,0.74,
rec-000069-dup-0,Beatrice,Henderson,087-87-1061,,,40,degree,72770.305,ELEMENTARY SCHOOL,TX  ,0.82,
rec-000070-dup-0,Madeline,Romriell,419-87-3504,,,61,bachelors,84908.74,FIRST BAPT YOUTH CHURCH,AZ  ,0.04,
rec-000071-dup-0,Victoria,,842-58-3583,female,,89,masters,69995.105,GARLICK MD,NV  ,0.83,
rec-000072-dup-0,Jan,,429-52-3585,female,Vanuatuan,55,bachelors,67924.024,H KATZ,,0.56,
rec-000073-dup-0,Richard,Hennessy,252-26-7823,,,49,high_school,40989.192,HARRY S TRUMAN CHILDRENS,FL  ,0.018525319,
rec-000074-dup-0,Julia,Johnson,809-79-8711,female,Belizian,80,,77520.239,HIBDON PODSADECKI,,0.8,
rec-000075-dup-0,Tana,,937-02-3913,female,Samoan ,83,high_school,37125.054,ACE HARDWARE,,0.57,
rec-000076-dup-0,Justine,Ferguson,295-80-0280,female,Sammarinese,,masters,74025.173,ACES MINERALS,,0.5,
rec-000077-dup-0,Imogene,Barnes,468-77-0895,female,Samoan ,,degree,,ALLEN HOUSING,UT  ,0.63,
rec-000078-dup-0,Samantha,Smith,599-83-7432,female,,32,high_school,38515.874,BLUFFDALE CITY,,0.98,
rec-000079-dup-0,Basil,Mcelroy,851-46-4461,male ,Bermudian,21,degree,64148.384,,,1,
rec-000080-dup-0,Rosemary,Cline,403-10-7455,,Lebanese,20,bachelors,,BOSTON YACHT SALES,NJ  ,0.61,
rec-000081-dup-0,,Germain,,male ,Sammarinese,67,high_school,37754.719,CARPENTER VILLAGE,VA  ,0.08,
rec-000082-dup-0,Brenda,Parks,145-12-0548,,Dominican,89,high_school,,CHRISTIAN HILL COMMONS,NY  ,0.03,
rec-000083-dup-0,Shannon,,141-78-9854,female,Mozambican,81,bachelors,99501.563,,NJ  ,0.65,
rec-000084-dup-0,Dora,Buchanan,,,Indian,44,high_school,48023.312,COUNTRY COURT TRLR PARK,NY  ,0.51,
rec-000085-dup-0,Wanda,Washington,005-45-9519,female,,32,,79690.039,COUNTRY EST MHP,NC  ,0.94,
rec-000086-dup-0,Floyd,Parker,,male ,Irish,76,high_school,38878.946,,RI  ,0.84,
rec-000087-dup-0,Shirley,,666-36-3346,,Italian,85,high_school,51180.752,COUNTRY MANOR TRL PK,ND  ,0.8,
rec-000088-dup-0,,Cadet,841-11-8161,female,Botswanan,43,high_school,48294.196,,NJ  ,0.61,
rec-000089-dup-0,Joseph,,689-42-7309,male ,Tanzanian,28,,40297.696,EOLA ROAD LIBRARY,FL  ,0.76,
rec-000090-dup-0,Margret,Hall,211-66-8821,female,,45,masters,,EVERGREEN BANK,GA  ,0.96,
rec-000091-dup-0,Wendy,,285-43-1794,female,Canadian,56,degree,58332.492,,MA  ,0.06,
rec-000092-dup-0,Bernice,Fitzpatrick,,female,,45,high_school,47740.305,FIRST & SAINT STEPHENS,FL  ,0.7,
rec-000093-dup-0,Lisa,,233-18-3512,female,Greek,51,,105415.526,FIRST FIDELITY,CO  ,0.67,
rec-000094-dup-0,Irma,Schindler,,,Liechtensteiner,90,masters,100972.974,FRANK GONZALES REAL ESTAT,OH  ,0.61,
rec-000095-dup-0,Donna,Grifemalefemaleiths,591-60-4888,female,Qatari,,degree,81195.899,,WV  ,0.65,
rec-000096-dup-0,Douglas,Walton,319-59-0202,male ,Danish,,degree,59200.11,GENESEE GARDENS,,0.03,
rec-000097-dup-0,,Barry,762-30-5540,female,American,,high_school,44030.928,H AND H OFFICE ENVIRONMENTS,VA  ,0.67,
rec-000098-dup-0,Jesus,,906-21-8877,male ,Macedonian,,high_school,54707.817,HATCH & ASSOCIATES,CT  ,0.69,
rec-000099-dup-0,Curtis,Garza,,male ,Madagascan,45,degree,67225.246,,PR  ,0.62,
rec-000100-dup-0,Joseph,Steinberg,462-71-2041,male ,Malawian,,,46410.039,HATCH & KIRK,CT  ,0.71,
rec-000101-dup-0,Evelyn,Keller,102-57-7333,,Malaysian,85,degree,,HATCH ENGINE SERV,MD  ,0.66,
rec-000102-dup-0,,Daniels,419-63-5730,,Monacan,38,bachelors,84789.856,HAYES & BURI INC,NC  ,0.96,
rec-000103-dup-0,Brandon,,977-33-1311,,Samoan ,30,degree,71010.947,HEART PLACE,IA  ,0.89,
rec-000104-dup-0,Laura,,217-67-5976,female,,38,professional,83045.75,HEDGEHILL APTS,IL  ,0.69,
rec-000105-dup-0,Derrick,,644-85-7110,male ,Seychellois ,23,high_school,36284.733,,NY  ,0.09,
rec-000106-dup-0,,Palmer,719-82-9691,male ,Solomon Islander,18,,84134.604,HELEN BALLER SCHOOL,TX  ,0.87,
rec-000107-dup-0,Minnie,Verret,275-38-6334,female,,58,high_school,43999.262,,TX  ,0.1,
rec-000108-dup-0,Joshua,Sander,023-79-8603,,Canadian,28,high_school,,HIGH ACRES TRAILER PARK,AL  ,0.97,
rec-000109-dup-0,Shelley,,724-67-8013,female,Ethiopian,32,high_school,,HILLSIDE TERRACE APTS,PR  ,0.74,
rec-000110-dup-0,Antonia,Rosemond,844-89-9607,male ,French,62,degree,67380.364,,,0.98,
rec-000111-dup-0,Jennifemaleer,Andrews,212-48-6621,,Kyrgyzstani,,professional,70991.095,AB ELECTRIC,FL  ,0.63,
rec-000112-dup-0,,Mccray,873-12-3618,female,Marshallese ,82,,71729.45,ABC MAILBOXES,IL  ,0.83,
rec-000113-dup-0,Eddie,Gage,220-76-0630,male ,Mayotte,55,,48583.174,ABERCROMBIE FITCH,,0.6,
rec-000114-dup-0,,Myers,134-62-1777,male ,Mexican,94,,68940.811,ABERDEEN APT,IL  ,0.6,
rec-000115-dup-0,Richard,,932-60-2637,male ,Micronesian,,bachelors,90502.98,ABERDEEN HOUSE,IL  ,0.87,
rec-000116-dup-0,Jose,,825-40-4201,male ,Sudanese,70,doctoral,,ACTON CITY HALL,AL  ,0.98,
rec-000117-dup-0,Dorothy,Delavega,292-43-0277,female,Turkish,74,high_school,,,TN  ,0.95,
rec-000118-dup-0,Tony,Williamson,,male ,Egyptian,20,masters,107381.153,,NY  ,0.51,
rec-000119-dup-0,Joel,,702-63-7398,male ,Chinese ,95,high_school,,AMERICAN FAMILY INS,AL  ,0.57,
rec-000120-dup-0,Allie,Joiner,434-61-4820,female,Icelandic,,high_school,42928.818,,OR  ,0.52,
rec-000121-dup-0,Michael,Grifemalefemalein,203-93-8275,,,48,degree,77061.923,AMERICAN GARDENS,AZ  ,0.97,
rec-000122-dup-0,Justin,Spillman,278-77-9733,male ,Latvian,56,bachelors,,AMERICAN NATIONAL CASUALT,,0.94,
rec-000123-dup-0,Michael,Padilla,120-34-2222,,Maltese,34,,46806.26,AMERICAN SEAFOODS COMPANY,ND  ,0.85,
rec-000124-dup-0,Benjamin,Samaniego,,male ,Nigerian,81,high_school,38050.455,,KS  ,0.69,
rec-000125-dup-0,Nelson,Thompson,349-88-5608,male ,,50,degree,63026.807,,CT  ,0.76,
rec-000126-dup-0,Sandra,Ortiz,,female,Cocos Islander,20,high_school,,ATRIUM AT GREENSPRING,MO  ,0.81,
rec-000127-dup-0,Dana,Garcia,504-59-6286,female,,76,high_school,36578.587,,PA  ,0.73,
rec-000128-dup-0,Chris,Llewellyn,108-91-0378,male ,Nigerian,80,masters,95362.308,,,0.85,
rec-000129-dup-0,Lynn,Hoagland,164-89-1135,female,,,professional,85404.134,BARCLAY EAST,GA  ,0.92,
rec-000130-dup-0,,,360-21-9840,male ,Ecuadorean,25,doctoral,101904.185,BARNES TRAILER PARK,NJ  ,0.9,
rec-000131-dup-0,Charles,Soto,267-82-3791,,Luxembourger,56,bachelors,88358.426,,NJ  ,0.98,
rec-000132-dup-0,Margaret,Turney,170-42-1713,female,Turkoman,,degree,,BELK,IL  ,0.87,
rec-000133-dup-0,,Gonzales,702-10-2793,female,Aruban,45,,51304.018,BEPLAT,PR  ,0.72,
rec-000134-dup-0,Prudence,,,female,Guamanian,68,high_school,50350.262,BEVERLY HOUSE,TN  ,0.78,
rec-000135-dup-0,Bonnie,Wren,104-35-8628,female,,54,degree,64252.6,,FL  ,0.77,
rec-000136-dup-0,Jose,Baehr,045-44-5105,male ,Namibian,,bachelors,,BIOGEN,NH  ,0.54,
rec-000137-dup-0,Michele,Michalski,895-12-8758,female,New Zealander,,doctoral,84517.342,,KY  ,0.93,
rec-000138-dup-0,Marie,,,female,Sao Tomean,94,degree,71112.418,BLACK ANGUS MEAT,AL  ,0.08,
rec-000139-dup-0,,Prado,,male ,Angolan,62,doctoral,126118.934,BLUE LAGOON VILLA,ND  ,0.07,
rec-000140-dup-0,Charlie,,850-37-2227,male ,,83,doctoral,99277.8,BOYD ST APTS,AL  ,0.52,
rec-000141-dup-0,Maureen,Gebhard,586-55-2306,,Palauan,61,,75163.337,BRAESWOOD HARBOR ATRIM,AL  ,0.53,
rec-000142-dup-0,Kenneth,Reed,472-37-5485,male ,Peruvian,,high_school,,BRANDFAS TRAILER CT,IL  ,0.08,
rec-000143-dup-0,,Thomas,011-01-0418,male ,Reunionese,69,masters,79266.154,,KY  ,0.58,
rec-000144-dup-0,Juana,Flynn,014-56-7090,,,20,high_school,41469.91,BRAZORIA MANOR APTS,KY  ,0.93,
rec-000145-dup-0,Dorothy,Ryan,659-96-2768,female,Sudanese,73,high_school,,,NJ  ,0.78,
rec-000146-dup-0,Neal,Baker,005-88-8656,male ,Surinamese,82,,45867.153,,OH  ,0.09,
rec-000147-dup-0,Travis,Pickering,208-03-9228,male ,Syrian,73,,69204.182,,OH  ,0.99,
rec-000148-dup-0,Jordan,Erwin,668-80-2250,male ,,52,,52895.515,BRIAN COURT,AL  ,0.07,
rec-000149-dup-0,,Prunty,121-14-4683,male ,Trinidadian,85,high_school,45140.297,BRIAN WALLACH AGENCY,,0.6,
rec-000150-dup-0,,Jones,332-27-9746,male ,Zimbabwean,,doctoral,109476.789,BRIDGER ELEM SCHOOL,NH  ,0.86,
rec-000151-dup-0,Bernetta,Bingham,276-03-6311,,Bahamian,,high_school,46369.262,BRIGHTON GARDENS BY MARRIOTT,DC  ,0.62,
rec-000152-dup-0,,Bacon,422-44-7395,male ,Ethiopian,37,degree,,BROOKFIELD APTS,AL  ,0.06,
rec-000153-dup-0,,,693-07-0984,female,Japanese,32,high_school,40010.75,BROWER RELOCATION,PA  ,0.5,
rec-000154-dup-0,Idell,Wofemalefemaleord,,,Mayotte,58,degree,65263.124,BROWNING PLAZA,NJ  ,0.76,
rec-000155-dup-0,,Lipscomb,121-91-6834,male ,Uzbek,23,,64768.855,BUTLER BORO,KY  ,0.79,
rec-000156-dup-0,Erica,Moore,084-69-8868,,American,65,high_school,50116.227,BUTTONWOOD COURT,,0.09,
rec-000157-dup-0,Sue,,847-17-1136,female,Barbadian,61,high_school,46381.006,,NY  ,0.08,
rec-000158-dup-0,Peter,Everette,947-76-4897,male ,Papua New Guinean,81,,,CARLSONS SPORT,WA  ,0.87,
rec-000159-dup-0,Angela,,889-34-9847,,Tunisian,49,high_school,53077.599,CASA BARRANQUITAS,NJ  ,0.002016587,
rec-000160-dup-0,Barbara,Castillo,909-10-5792,female,Czech,87,high_school,,CENTER FOR STUDENT LIFE,,0.5,
rec-000161-dup-0,Thomas,Humphreys,224-16-7243,male ,,89,,43860.431,CENTURY/PARK,MO  ,0.64,
rec-000162-dup-0,,Edwards,597-18-0479,,Rwandan,87,bachelors,58236.644,CHATEAU CHERRY HILL,TX  ,0.82,
rec-000163-dup-0,Mary,Haack,182-84-3144,female,,25,high_school,38556.795,CHERRY CORNER,,0.07,
rec-000164-dup-0,Chester,Farrow,,male ,Vanuatuan,,degree,71327.243,CHESTNUT HOUSE APTS,MO  ,0.78,
rec-000165-dup-0,Mary,Simpson,362-61-7660,female,Bulgarian,60,high_school,36322.958,,,0.91,
rec-000166-dup-0,Kristen,Simpson,,female,Congolese,,high_school,53397.815,CHOCOLATE WORKS APTS OFFICE,CA  ,0.59,
rec-000167-dup-0,Brett,Mendez,226-20-0404,,Cook Islander,72,bachelors,93112.408,,FL  ,0.96,
rec-000168-dup-0,Phillip,Turner,,male ,Danish,33,degree,,CHRIST CHURCH,OR  ,0.68,
rec-000169-dup-0,Franklin,Gregory,795-87-6500,,Estonian,60,bachelors,83365.324,,TX  ,0.000999877,
rec-000170-dup-0,Francisco,Wilson,682-04-4570,,Mozambican,,bachelors,81545.377,CIVILIAN RECREATION SECTION,SD  ,0.67,
rec-000171-dup-0,Marie,,228-67-8859,female,Russian,21,professional,77871.233,CLASSICAL GUITAR STUDIO,,0.85,
rec-000172-dup-0,Ronald,James,517-18-3930,male ,,25,high_school,36595.967,,MA  ,0.77,
rec-000173-dup-0,,,684-90-5361,male ,Slovenian,18,degree,67415.879,CLERK,AL  ,0.94,
rec-000174-dup-0,Rosaura,,,female,Thai,73,high_school,43272.082,CLINTON CHATEAU ARROW 1,WY  ,0.58,
rec-000175-dup-0,Denis,Peachey,,male ,American,,bachelors,95594.928,CO RI BUILDING,PA  ,0.64,
rec-000176-dup-0,,Kelsey,833-03-3878,female,,74,high_school,40669.299,COBBLE STONE APARTMENTS,WA  ,0.59,
rec-000177-dup-0,,Synder,359-82-1234,female,Costa Rican,60,bachelors,92923.631,COLEY KUNZMAN YOSPIN,,1,
rec-000178-dup-0,,Jordan,841-39-3806,female,Danish,83,masters,,COLLECTOR OF REVENUE,CA  ,0.76,
rec-000179-dup-0,Michael,Baily,322-57-6599,,Italian,30,,94963.761,COLONIE CENTRAL SCHOOL,NY  ,0.98,
rec-000180-dup-0,,Campos,050-42-2764,female,,49,bachelors,67035.841,COLUMBIA COLLEGE,NY  ,0.62,
rec-000181-dup-0,,Ambrose,465-43-5978,female,Liechtensteiner,60,bachelors,,COLUMBIAVILLE ELE SCHOOL,NJ  ,0.64,
rec-000182-dup-0,John,Tipler,,male ,,54,doctoral,97310.412,COMPUTER FORWARDING SYSTEM,AL  ,0.56,
rec-000183-dup-0,Donald,Miller,,male ,Vincentian,69,masters,86320.729,CONCHO VILLAGE APTS,,0.88,
rec-000184-dup-0,Joseph,Ruble,831-02-5992,,Beninese,75,bachelors,83788.291,,CA  ,0.63,
rec-000185-dup-0,,Snider,836-33-5394,male ,Bulgarian,95,doctoral,,COPES FOODFAIR,AL  ,0.05,
rec-000186-dup-0,Brady,Napier,,male ,Cameroonian,,bachelors,62749.367,COPLEY APTS,RI  ,0.67,
rec-000187-dup-0,,Thompson,187-35-9596,male ,,44,doctoral,84622.773,COUNTRY CLUB,MA  ,0.64,
rec-000188-dup-0,Amanda,Cleghorn,,female,Guadeloupian,60,bachelors,67445.548,,AL  ,0.53,
rec-000189-dup-0,Bruce,Cahill,481-87-5474,male ,Latvian,,degree,69129.886,COUNTY  STORE,,0.74,
rec-000190-dup-0,Judi,Jones,168-35-3707,female,Mauritian,75,,,COUNTY JAIL #2,GA  ,0.71,
rec-000191-dup-0,Brad,Lawrence,037-73-8119,,Nicaraguan,51,degree,,COURT CLERK,AL  ,0.85,
rec-000192-dup-0,,Croce,360-32-3335,male ,Omani,54,,60399.763,COURTHOUSE,AL  ,0.06,
rec-000193-dup-0,Martha,Ambrose,943-20-1724,female,Central Afemalerican,,,48539.954,DAVID SHANTHA S MD,AL  ,0.52,
rec-000194-dup-0,Donna,Turner,333-49-0208,female,,58,high_school,42684.308,,TX  ,0.81,
rec-000195-dup-0,Ramon,Lewis,860-77-5405,male ,Danish,75,,89287.932,DAVIS COUNTY JAIL,,0.6,
rec-000196-dup-0,Yvonne,,804-67-9089,female,Dominican,32,bachelors,88619.452,,PA  ,0.7,
rec-000197-dup-0,Esther,Hines,098-68-0637,female,,,high_school,37843.882,DE LORENZO,NC  ,0.88,
rec-000198-dup-0,,Pena,756-23-1186,,Micronesian,52,masters,72474.03,DELINQUENCY CONTROL,ME  ,0.87,
rec-000199-dup-0,Walter,Collins,311-42-5326,male ,Nicaraguan,,high_school,47013.879,DISTRIBUTION SPECIALIST,,0.04,
rec-000200-dup-0,Arthur,Kendall,993-37-1047,male ,,67,bachelors,,DIV OF WATERS,PA  ,0.09,
rec-000201-dup-0,,Tello,666-39-7027,male ,,73,high_school,38025.167,DM COUNTY SHERIFF,SC  ,0.87,
rec-000202-dup-0,Joseph,Lee,761-64-9771,male ,Togolese,51,,40341.91,,AL  ,0.83,
rec-000203-dup-0,Maureen,Brewer,,,American,75,high_school,43359.428,DONNA AUDIOS,AL  ,0.63,
rec-000204-dup-0,George,Cunningham,927-69-4156,male ,,74,degree,80463.929,DR BARABAN,,0.72,
rec-000205-dup-0,Edwin,Johnson,318-41-3008,male ,,28,degree,,DR FERNANDO & MISERDINO,TX  ,0.71,
rec-000206-dup-0,Milton,Otis,136-82-9599,male ,Kazakh,,,52344.77,DR GREGORY J ALBRIGHT,MI  ,0.73,
rec-000207-dup-0,Bobbie,Vines,068-09-4256,female,,52,doctoral,87327.447,DR JULIE S LEE,,0.06,
rec-000208-dup-0,Jessica,Rush,011-30-6432,,Niuean,71,,62779.923,DR PARK,PA  ,0.62,
rec-000209-dup-0,Denise,Brown,495-89-1925,female,US,73,,97058.564,DR PETERSON,,0.54,
rec-000210-dup-0,Edward,,160-26-7272,male ,Omani,64,,123113.648,DR PITTS,GA  ,0.74,
rec-000211-dup-0,Kathy,Benjamin,543-56-5399,female,Serbian,24,bachelors,59978.013,,,0.004015576,
rec-000212-dup-0,,Lafemaleleur,508-64-7941,male ,Tajik,37,bachelors,62017.156,,GA  ,0.87,
rec-000213-dup-0,Matt,Rountree,204-98-7854,male ,,23,degree,,ELKS,NJ  ,0.93,
rec-000214-dup-0,Orlando,Wallace,966-28-0624,male ,,76,high_school,,ELM ST APTS,PR  ,0.56,
rec-000215-dup-0,Elizabeth,Okeefemalee,350-57-9904,female,,94,degree,,ELSIE MASONRY,IL  ,0.95,
rec-000216-dup-0,Loren,Sanders,081-10-2129,male ,Samoan ,22,high_school,39770.86,,,0.81,
rec-000217-dup-0,Thomas,,235-79-5860,male ,,55,high_school,38985.701,ESQUIRE APTS,AL  ,0.9,
rec-000218-dup-0,Cecil,Risinger,684-92-8139,male ,,42,,69369.829,ETHAN ALLEN SCHOOL,NV  ,0.54,
rec-000219-dup-0,Nell,Beck,067-65-5817,female,Armenian,64,,45076.714,,KY  ,0.93,
rec-000220-dup-0,Syble,Campbell,291-22-1789,female,,,high_school,49264.407,EVANS & WHITES,NJ  ,0.54,
rec-000221-dup-0,Rich,,217-30-9582,male ,Barbadian,22,high_school,36850.302,EVANS TRI FAN,,0.51,
rec-000222-dup-0,Albert,Richard,842-31-8846,,Burkinese,,high_school,43253.404,EVERGREEN PALMS,SC  ,0.77,
rec-000223-dup-0,Elsa,,998-07-1887,female,Chadian,57,high_school,53471.532,EXCEL GLASS,,0.63,
rec-000224-dup-0,,Thibodaux,284-53-2757,female,Chilean,72,bachelors,,EXCEL PRINT,RI  ,0.96,
rec-000225-dup-0,Edward,,392-77-2576,male ,Salvadorean,61,high_school,48094.099,EXXEL CONCRETE,,0.84,
rec-000226-dup-0,Josephine,Matherly,,female,,36,degree,67505.734,FAIRWAYS EXECUTIVE CTR,IL  ,0.09,
